User,year,month,input_name,flow
loudoun,1997,OCTOBER,CABIN BRANCH,33.71
loudoun,1997,NOVEMBER,CABIN BRANCH,42.12
loudoun,1997,DECEMBER,CABIN BRANCH,36.14
loudoun,1998,JANUARY,CABIN BRANCH,50.43
loudoun,1998,FEBRUARY,CABIN BRANCH,50.20
loudoun,1998,MARCH,CABIN BRANCH,50.61
loudoun,1998,APRIL,CABIN BRANCH,36.18
loudoun,1998,MAY,CABIN BRANCH,43.29
loudoun,1998,JUNE,CABIN BRANCH,33.94
loudoun,1998,JULY,CABIN BRANCH,36.71
loudoun,1998,AUGUST,CABIN BRANCH,32.97
loudoun,1998,SEPTEMBER,CABIN BRANCH,31.07
loudoun,1998,OCTOBER,CABIN BRANCH,34.12
loudoun,1998,NOVEMBER,CABIN BRANCH,31.90
loudoun,1998,DECEMBER,CABIN BRANCH,32.54
loudoun,1999,JANUARY,CABIN BRANCH,44.83
loudoun,1999,FEBRUARY,CABIN BRANCH,36.16
loudoun,1999,MARCH,CABIN BRANCH,47.11
loudoun,1999,APRIL,CABIN BRANCH,35.98
loudoun,1999,MAY,CABIN BRANCH,34.88
loudoun,1999,JUNE,CABIN BRANCH,35.49
loudoun,1999,JULY,CABIN BRANCH,35.30
loudoun,1999,AUGUST,CABIN BRANCH,36.68
loudoun,1999,SEPTEMBER,CABIN BRANCH,43.29
loudoun,1999,OCTOBER,CABIN BRANCH,43.31
loudoun,1999,NOVEMBER,CABIN BRANCH,34.64
loudoun,1999,DECEMBER,CABIN BRANCH,38.26
loudoun,2000,JANUARY,CABIN BRANCH,38.18
loudoun,2000,FEBRUARY,CABIN BRANCH,45.01
loudoun,2000,MARCH,CABIN BRANCH,46.68
loudoun,2000,APRIL,CABIN BRANCH,47.38
loudoun,2000,MAY,CABIN BRANCH,40.10
loudoun,2000,JUNE,CABIN BRANCH,40.77
loudoun,2000,JULY,CABIN BRANCH,39.61
loudoun,2000,AUGUST,CABIN BRANCH,43.04
loudoun,2000,SEPTEMBER,CABIN BRANCH,39.53
loudoun,2000,OCTOBER,CABIN BRANCH,38.76
loudoun,2000,NOVEMBER,CABIN BRANCH,37.82
loudoun,2000,DECEMBER,CABIN BRANCH,41.28
loudoun,2001,JANUARY,CABIN BRANCH,42.89
loudoun,2001,FEBRUARY,CABIN BRANCH,39.97
loudoun,2001,MARCH,CABIN BRANCH,49.20
loudoun,2001,APRIL,CABIN BRANCH,44.82
loudoun,2001,MAY,CABIN BRANCH,41.20
loudoun,2001,JUNE,CABIN BRANCH,43.21
loudoun,2001,JULY,CABIN BRANCH,43.90
loudoun,2001,AUGUST,CABIN BRANCH,42.61
loudoun,2001,SEPTEMBER,CABIN BRANCH,40.93
loudoun,2001,OCTOBER,CABIN BRANCH,40.41
loudoun,2001,NOVEMBER,CABIN BRANCH,39.10
loudoun,2001,DECEMBER,CABIN BRANCH,39.10
loudoun,2002,JANUARY,CABIN BRANCH,41.41
loudoun,2002,FEBRUARY,CABIN BRANCH,37.04
loudoun,2002,MARCH,CABIN BRANCH,44.87
loudoun,2002,APRIL,CABIN BRANCH,42.84
loudoun,2002,MAY,CABIN BRANCH,45.11
loudoun,2002,JUNE,CABIN BRANCH,41.68
loudoun,2002,JULY,CABIN BRANCH,40.50
loudoun,2002,AUGUST,CABIN BRANCH,41.47
loudoun,2002,SEPTEMBER,CABIN BRANCH,41.77
loudoun,2002,OCTOBER,CABIN BRANCH,49.29
loudoun,2002,NOVEMBER,CABIN BRANCH,54.92
loudoun,2002,DECEMBER,CABIN BRANCH,56.75
loudoun,2003,JANUARY,CABIN BRANCH,55.01
loudoun,2003,FEBRUARY,CABIN BRANCH,54.48
loudoun,2003,MARCH,CABIN BRANCH,69.51
loudoun,2003,APRIL,CABIN BRANCH,53.52
loudoun,2003,MAY,CABIN BRANCH,62.71
loudoun,2003,JUNE,CABIN BRANCH,62.86
loudoun,2003,JULY,CABIN BRANCH,47.94
loudoun,2003,AUGUST,CABIN BRANCH,42.45
loudoun,2003,SEPTEMBER,CABIN BRANCH,54.92
loudoun,2003,OCTOBER,CABIN BRANCH,51.67
loudoun,2003,NOVEMBER,CABIN BRANCH,57.86
loudoun,2003,DECEMBER,CABIN BRANCH,63.06
loudoun,2004,JANUARY,CABIN BRANCH,49.09
loudoun,2004,FEBRUARY,CABIN BRANCH,55.00
loudoun,2004,MARCH,CABIN BRANCH,51.25
loudoun,2004,APRIL,CABIN BRANCH,58.33
loudoun,2004,MAY,CABIN BRANCH,49.37
loudoun,2004,JUNE,CABIN BRANCH,50.53
loudoun,2004,JULY,CABIN BRANCH,48.07
loudoun,2004,AUGUST,CABIN BRANCH,48.12
loudoun,2004,SEPTEMBER,CABIN BRANCH,48.54
loudoun,2004,OCTOBER,CABIN BRANCH,46.14
loudoun,2004,NOVEMBER,CABIN BRANCH,55.45
loudoun,2004,DECEMBER,CABIN BRANCH,53.88
loudoun,2005,JANUARY,CABIN BRANCH,54.08
loudoun,2005,FEBRUARY,CABIN BRANCH,47.41
loudoun,2005,MARCH,CABIN BRANCH,63.32
loudoun,2005,APRIL,CABIN BRANCH,56.65
loudoun,2005,MAY,CABIN BRANCH,53.98
loudoun,2005,JUNE,CABIN BRANCH,47.28
loudoun,2005,JULY,CABIN BRANCH,53.83
loudoun,2005,AUGUST,CABIN BRANCH,49.19
loudoun,2005,SEPTEMBER,CABIN BRANCH,45.25
loudoun,2005,OCTOBER,CABIN BRANCH,59.78
loudoun,2005,NOVEMBER,CABIN BRANCH,49.93
loudoun,2005,DECEMBER,CABIN BRANCH,58.51
loudoun,2006,JANUARY,CABIN BRANCH,59.40
loudoun,2006,FEBRUARY,CABIN BRANCH,53.98
loudoun,2006,MARCH,CABIN BRANCH,48.56
loudoun,2006,APRIL,CABIN BRANCH,50.47
loudoun,2006,MAY,CABIN BRANCH,49.43
loudoun,2006,JUNE,CABIN BRANCH,56.10
loudoun,2006,JULY,CABIN BRANCH,48.12
loudoun,2006,AUGUST,CABIN BRANCH,44.77
loudoun,2006,SEPTEMBER,CABIN BRANCH,52.73
loudoun,2006,OCTOBER,CABIN BRANCH,58.55
loudoun,2006,NOVEMBER,CABIN BRANCH,61.05
loudoun,2006,DECEMBER,CABIN BRANCH,51.44
loudoun,2007,JANUARY,CABIN BRANCH,50.22
loudoun,2007,FEBRUARY,CABIN BRANCH,46.46
loudoun,2007,MARCH,CABIN BRANCH,59.59
loudoun,2007,APRIL,CABIN BRANCH,50.77
loudoun,2007,MAY,CABIN BRANCH,51.69
loudoun,2007,JUNE,CABIN BRANCH,49.33
loudoun,2007,JULY,CABIN BRANCH,48.28
loudoun,2007,AUGUST,CABIN BRANCH,49.77
loudoun,2007,SEPTEMBER,CABIN BRANCH,45.55
loudoun,2007,OCTOBER,CABIN BRANCH,50.31
loudoun,2007,NOVEMBER,CABIN BRANCH,48.02
loudoun,2007,DECEMBER,CABIN BRANCH,54.05
loudoun,2008,JANUARY,CABIN BRANCH,51.04
loudoun,2008,FEBRUARY,CABIN BRANCH,59.19
loudoun,2008,MARCH,CABIN BRANCH,54.09
loudoun,2008,APRIL,CABIN BRANCH,64.89
loudoun,2008,MAY,CABIN BRANCH,74.87
loudoun,2008,JUNE,CABIN BRANCH,52.56
loudoun,2008,JULY,CABIN BRANCH,49.87
loudoun,2008,AUGUST,CABIN BRANCH,49.50
loudoun,2008,SEPTEMBER,CABIN BRANCH,54.26
loudoun,2008,OCTOBER,CABIN BRANCH,54.28
loudoun,2008,NOVEMBER,CABIN BRANCH,46.78
loudoun,2008,DECEMBER,CABIN BRANCH,55.18
loudoun,2009,JANUARY,CABIN BRANCH,61.84
loudoun,2009,FEBRUARY,CABIN BRANCH,50.04
loudoun,2009,MARCH,CABIN BRANCH,53.74
loudoun,2009,APRIL,CABIN BRANCH,64.08
loudoun,2009,MAY,CABIN BRANCH,79.20
loudoun,2009,JUNE,CABIN BRANCH,76.46
loudoun,2009,JULY,CABIN BRANCH,52.96
loudoun,2009,AUGUST,CABIN BRANCH,49.72
loudoun,2009,SEPTEMBER,CABIN BRANCH,49.50
loudoun,2009,OCTOBER,CABIN BRANCH,62.23
loudoun,2009,NOVEMBER,CABIN BRANCH,62.21
loudoun,2009,DECEMBER,CABIN BRANCH,87.12
loudoun,2010,JANUARY,CABIN BRANCH,61.31
loudoun,2010,FEBRUARY,CABIN BRANCH,71.89
loudoun,2010,MARCH,CABIN BRANCH,80.38
loudoun,2010,APRIL,CABIN BRANCH,55.20
loudoun,2010,MAY,CABIN BRANCH,51.52
loudoun,2010,JUNE,CABIN BRANCH,50.34
loudoun,2010,JULY,CABIN BRANCH,48.69
loudoun,2010,AUGUST,CABIN BRANCH,54.85
loudoun,2010,SEPTEMBER,CABIN BRANCH,48.30
loudoun,2010,OCTOBER,CABIN BRANCH,55.51
loudoun,2010,NOVEMBER,CABIN BRANCH,52.20
loudoun,2010,DECEMBER,CABIN BRANCH,49.22
loudoun,2011,JANUARY,CABIN BRANCH,52.54
loudoun,2011,FEBRUARY,CABIN BRANCH,59.77
loudoun,2011,MARCH,CABIN BRANCH,74.01
