user,year,month,input,flow
vienna,1997,OCTOBER,NORTHSIDE,15.70
vienna,1997,NOVEMBER,NORTHSIDE,16.58
vienna,1997,DECEMBER,NORTHSIDE,14.14
vienna,1998,JANUARY,NORTHSIDE,16.44
vienna,1998,FEBRUARY,NORTHSIDE,19.93
vienna,1998,MARCH,NORTHSIDE,23.04
vienna,1998,APRIL,NORTHSIDE,20.52
vienna,1998,MAY,NORTHSIDE,22.58
vienna,1998,JUNE,NORTHSIDE,18.03
vienna,1998,JULY,NORTHSIDE,15.36
vienna,1998,AUGUST,NORTHSIDE,14.46
vienna,1998,SEPTEMBER,NORTHSIDE,14.28
vienna,1998,OCTOBER,NORTHSIDE,14.89
vienna,1998,NOVEMBER,NORTHSIDE,13.36
vienna,1998,DECEMBER,NORTHSIDE,14.08
vienna,1999,JANUARY,NORTHSIDE,14.64
vienna,1999,FEBRUARY,NORTHSIDE,13.30
vienna,1999,MARCH,NORTHSIDE,16.00
vienna,1999,APRIL,NORTHSIDE,16.59
vienna,1999,MAY,NORTHSIDE,15.68
vienna,1999,JUNE,NORTHSIDE,15.02
vienna,1999,JULY,NORTHSIDE,13.92
vienna,1999,AUGUST,NORTHSIDE,14.33
vienna,1999,SEPTEMBER,NORTHSIDE,16.08
vienna,1999,OCTOBER,NORTHSIDE,15.32
vienna,1999,NOVEMBER,NORTHSIDE,13.76
vienna,1999,DECEMBER,NORTHSIDE,15.92
vienna,2000,JANUARY,NORTHSIDE,17.19
vienna,2000,FEBRUARY,NORTHSIDE,14.30
vienna,2000,MARCH,NORTHSIDE,14.17
vienna,2000,APRIL,NORTHSIDE,18.02
vienna,2000,MAY,NORTHSIDE,17.35
vienna,2000,JUNE,NORTHSIDE,15.58
vienna,2000,JULY,NORTHSIDE,14.64
vienna,2000,AUGUST,NORTHSIDE,14.83
vienna,2000,SEPTEMBER,NORTHSIDE,15.04
vienna,2000,OCTOBER,NORTHSIDE,13.85
vienna,2000,NOVEMBER,NORTHSIDE,12.64
vienna,2000,DECEMBER,NORTHSIDE,13.26
vienna,2001,JANUARY,NORTHSIDE,13.24
vienna,2001,FEBRUARY,NORTHSIDE,11.93
vienna,2001,MARCH,NORTHSIDE,14.81
vienna,2001,APRIL,NORTHSIDE,14.33
vienna,2001,MAY,NORTHSIDE,16.51
vienna,2001,JUNE,NORTHSIDE,15.22
vienna,2001,JULY,NORTHSIDE,14.54
vienna,2001,AUGUST,NORTHSIDE,17.17
vienna,2001,SEPTEMBER,NORTHSIDE,14.13
vienna,2001,OCTOBER,NORTHSIDE,11.84
vienna,2001,NOVEMBER,NORTHSIDE,11.60
vienna,2001,DECEMBER,NORTHSIDE,12.96
vienna,2002,JANUARY,NORTHSIDE,12.01
vienna,2002,FEBRUARY,NORTHSIDE,10.96
vienna,2002,MARCH,NORTHSIDE,12.57
vienna,2002,APRIL,NORTHSIDE,12.88
vienna,2002,MAY,NORTHSIDE,14.46
vienna,2002,JUNE,NORTHSIDE,13.34
vienna,2002,JULY,NORTHSIDE,13.62
vienna,2002,AUGUST,NORTHSIDE,12.22
vienna,2002,SEPTEMBER,NORTHSIDE,12.02
vienna,2002,OCTOBER,NORTHSIDE,12.80
vienna,2002,NOVEMBER,NORTHSIDE,13.50
vienna,2002,DECEMBER,NORTHSIDE,15.01
vienna,2003,JANUARY,NORTHSIDE,14.15
vienna,2003,FEBRUARY,NORTHSIDE,14.18
vienna,2003,MARCH,NORTHSIDE,18.95
vienna,2003,APRIL,NORTHSIDE,18.66
vienna,2003,MAY,NORTHSIDE,21.61
vienna,2003,JUNE,NORTHSIDE,20.69
vienna,2003,JULY,NORTHSIDE,17.47
vienna,2003,AUGUST,NORTHSIDE,15.23
vienna,2003,SEPTEMBER,NORTHSIDE,16.02
vienna,2003,OCTOBER,NORTHSIDE,15.76
vienna,2003,NOVEMBER,NORTHSIDE,18.52
vienna,2003,DECEMBER,NORTHSIDE,22.13
vienna,2004,JANUARY,NORTHSIDE,16.55
vienna,2004,FEBRUARY,NORTHSIDE,16.44
vienna,2004,MARCH,NORTHSIDE,18.53
vienna,2004,APRIL,NORTHSIDE,21.75
vienna,2004,MAY,NORTHSIDE,20.00
vienna,2004,JUNE,NORTHSIDE,20.17
vienna,2004,JULY,NORTHSIDE,19.13
vienna,2004,AUGUST,NORTHSIDE,16.33
vienna,2004,SEPTEMBER,NORTHSIDE,15.53
vienna,2004,OCTOBER,NORTHSIDE,14.86
vienna,2004,NOVEMBER,NORTHSIDE,15.81
vienna,2004,DECEMBER,NORTHSIDE,17.37
vienna,2005,JANUARY,NORTHSIDE,17.49
vienna,2005,FEBRUARY,NORTHSIDE,14.92
vienna,2005,MARCH,NORTHSIDE,20.94
vienna,2005,APRIL,NORTHSIDE,19.37
vienna,2005,MAY,NORTHSIDE,20.54
vienna,2005,JUNE,NORTHSIDE,15.15
vienna,2005,JULY,NORTHSIDE,16.93
vienna,2005,AUGUST,NORTHSIDE,15.55
vienna,2005,SEPTEMBER,NORTHSIDE,14.31
vienna,2005,OCTOBER,NORTHSIDE,17.62
vienna,2005,NOVEMBER,NORTHSIDE,15.14
vienna,2005,DECEMBER,NORTHSIDE,15.55
vienna,2006,JANUARY,NORTHSIDE,15.80
vienna,2006,FEBRUARY,NORTHSIDE,15.05
vienna,2006,MARCH,NORTHSIDE,16.65
vienna,2006,APRIL,NORTHSIDE,14.79
vienna,2006,MAY,NORTHSIDE,15.35
vienna,2006,JUNE,NORTHSIDE,15.33
vienna,2006,JULY,NORTHSIDE,12.22
vienna,2006,AUGUST,NORTHSIDE,12.59
vienna,2006,SEPTEMBER,NORTHSIDE,14.13
vienna,2006,OCTOBER,NORTHSIDE,14.78
vienna,2006,NOVEMBER,NORTHSIDE,17.53
vienna,2006,DECEMBER,NORTHSIDE,15.66
vienna,2007,JANUARY,NORTHSIDE,17.48
vienna,2007,FEBRUARY,NORTHSIDE,11.36
vienna,2007,MARCH,NORTHSIDE,17.59
vienna,2007,APRIL,NORTHSIDE,17.66
vienna,2007,MAY,NORTHSIDE,16.83
vienna,2007,JUNE,NORTHSIDE,12.83
vienna,2007,JULY,NORTHSIDE,12.67
vienna,2007,AUGUST,NORTHSIDE,12.50
vienna,2007,SEPTEMBER,NORTHSIDE,12.36
vienna,2007,OCTOBER,NORTHSIDE,12.39
vienna,2007,NOVEMBER,NORTHSIDE,11.17
vienna,2007,DECEMBER,NORTHSIDE,11.63
