user,year,month,input,flow
dulles,1997,OCTOBER,DULLES   -   S -110,18.21
dulles,1997,NOVEMBER,DULLES   -   S -110,20.34
dulles,1997,DECEMBER,DULLES   -   S -110,16.97
dulles,1998,JANUARY,DULLES   -   S -110,21.29
dulles,1998,FEBRUARY,DULLES   -   S -110,24.34
dulles,1998,MARCH,DULLES   -   S -110,23.60
dulles,1998,APRIL,DULLES   -   S -110,20.05
dulles,1998,MAY,DULLES   -   S -110,21.12
dulles,1998,JUNE,DULLES   -   S -110,19.67
dulles,1998,JULY,DULLES   -   S -110,20.40
dulles,1998,AUGUST,DULLES   -   S -110,17.33
dulles,1998,SEPTEMBER,DULLES   -   S -110,15.67
dulles,1998,OCTOBER,DULLES   -   S -110,18.26
dulles,1998,NOVEMBER,DULLES   -   S -110,18.29
dulles,1998,DECEMBER,DULLES   -   S -110,16.70
dulles,1999,JANUARY,DULLES   -   S -110,18.36
dulles,1999,FEBRUARY,DULLES   -   S -110,15.82
dulles,1999,MARCH,DULLES   -   S -110,17.30
dulles,1999,APRIL,DULLES   -   S -110,16.71
dulles,1999,MAY,DULLES   -   S -110,16.49
dulles,1999,JUNE,DULLES   -   S -110,20.11
dulles,1999,JULY,DULLES   -   S -110,26.24
dulles,1999,AUGUST,DULLES   -   S -110,22.34
dulles,1999,SEPTEMBER,DULLES   -   S -110,27.34
dulles,1999,OCTOBER,DULLES   -   S -110,
dulles,1999,NOVEMBER,DULLES   -   S -110,
dulles,1999,DECEMBER,DULLES   -   S -110,
dulles,2000,JANUARY,DULLES   -   S -110,18.61
dulles,2000,FEBRUARY,DULLES   -   S -110,17.41
dulles,2000,MARCH,DULLES   -   S -110,20.27
dulles,2000,APRIL,DULLES   -   S -110,22.78
dulles,2000,MAY,DULLES   -   S -110,23.27
dulles,2000,JUNE,DULLES   -   S -110,23.87
dulles,2000,JULY,DULLES   -   S -110,25.97
dulles,2000,AUGUST,DULLES   -   S -110,23.83
dulles,2000,SEPTEMBER,DULLES   -   S -110,22.77
dulles,2000,OCTOBER,DULLES   -   S -110,22.02
dulles,2000,NOVEMBER,DULLES   -   S -110,18.43
