ID,type,name,Lat,Lon,state,capacity,date start,status,usmh,dsmh,dia,slope,length,material,shape,usstation,dsstation,unit
1,ocf,PI_1995,38.91975922,-77.10135892,DC,550,,Operation,,,,,,,,,,
2,ocf,PI_0004,38.95024374,-77.12665776,MD,550,,Operation,4,4,78,0,0,ocf,ocf,5904,5904,7
3,ocf,PI_0017,38.97282086,-77.17677488,MD,550,,Operation,,,,,,,,,,
4,ocf,PI_0027,38.98173645,-77.2262457,MD,600,,Operation,,,,,,,,,,
5,ocf,PI_0031,39.03580327,-77.28287171,VA,650,,Operation,,,,,,,,,,
6,ocf,PI_46,39.05484493,-77.37500199,VA,600,,Operation,,,,,,,,,,
7,risky_construction,kinkora,39.037472,-77.4335,VA,,,current,,,,,,,,,,
,manhole,2,38.94035224,-77.12175408,,,,,2,1.6,78,0.0005,1588,RCP,Round,1951,357,7
,manhole,3,38.94543153,-77.12378731,,,,,3,2,78,0.0005,1938,RCP,Round,3898,1951,7
,manhole,4,38.95029063,-77.12708096,,,,,4,3,78,0.0024,2002,RCP,Round,5904,3898,7
,manhole,5,38.95448667,-77.13009841,,,,,5,4,78,0.0005,1753,RCP,Round,7665,5904,7
,manhole,6,38.95820804,-77.13227481,,,,,6,5,78,0.0005,1490,RCP,Round,9178,7665,7
,manhole,7,38.96008913,-77.1336381,,,,,7,6,78,0.0005,787,RCP,Round,9999,9178,7
,manhole,8,38.96010994,-77.13379993,,,,,8,7,78,0.0005,47,RCP,Round,10012,9999,7
,manhole,9,38.96368737,-77.13754422,,,,,9,8,78,0.0005,1683,RCP,Round,11611,10012,7
,manhole,10,38.96739411,-77.14222655,,,,,10,9,78,0.0005,1896,RCP,Round,13608,11611,7
,manhole,11,38.97019539,-77.14779313,,,,,11,10,78,0.0034,1883,RCP,Round,15596,13608,7
,manhole,12,38.97051738,-77.15455851,,,,,12,11,78,0.0034,1939,RCP,Round,17564,15596,7
,manhole,13,38.97125724,-77.16126481,,,,,13,12,78,0.0005,1916,RCP,Round,19498,17564,7
,manhole,14,38.97245694,-77.16646199,,,,,14,13,78,0.0005,1541,RCP,Round,21067,19498,7
,manhole,15,38.97252926,-77.1704221,,,,,15,14,78,0.0005,1126,RCP,Round,22190,21067,7/10
,manhole,16,38.9725293,-77.17055275,,,,,16,15,78,0.0005,37,RCP,Round,22235,22190,10
,manhole,17,38.9728809,-77.17706088,,,,,17,16,72,0.0028,1855,RCP,Round,24100,22235,10
,manhole,18,38.97288233,-77.17723715,,,,,18,17,72,0.0028,50,RCP,Round,24150,24100,10
,manhole,19,38.97218508,-77.18262777,,,,,19,18,78,0.0018,1554,RCP,Round,25725,24150,10
,manhole,20,38.97216808,-77.18276074,,,,,20,19,78,0.0012,38,RCP,Round,25763,25725,10
,manhole,21,38.97207587,-77.18768545,,,,,21,20,84,0.0012,1401,RCP,Round,27200,25763,10
,manhole,22,38.97216952,-77.19462463,,,,,22,21,84,0.0012,1973,RCP,Round,29200,27200,10
,manhole,23,38.9751889,-77.20033868,,,,,23,22,84,0.0005,1962,RCP,Round,31200,29200,10
,manhole,24,38.97791209,-77.20628323,,,,,24,23,84,0.0012,1960,RCP,Round,33254,31200,10
,manhole,25,38.97782696,-77.21342213,,,,,25,24,84,0.0005,2030,RCP,Round,35448,33254,10
,manhole,26,38.9787592,-77.221008,,,,,26,25,84,0.0023,2183,RCP,Round,37644,35448,10
,manhole,27,38.98167062,-77.22674171,,,,,27,26,84,0.0015,1945,RCP,Round,40577,37644,10/3
,manhole,28,38.99913091,-77.24828988,,,,,28,27,84,0.0017,8829,RCP,Round,49412,40577,3
,manhole,29,39.00670864,-77.25468189,,,,,29,28,78,0.0014,3304,RCP,Round,52743,49412,3/1
,manhole,30,39.02612775,-77.27183996,,,,,30,29,78,0.0011,8590,RCP,Arch,61303,52743,1
,manhole,31,39.03813611,-77.28245348,,,,,31,30,78,0.0011,5312,RCP,Arch,66604,61303,1
,manhole,32,39.04100851,-77.28788389,,,,,32,31,54,0.0011,1864,RCP,Round,1983,66604,1/9
,manhole,33,39.04350004,-77.29419429,,,,,33,32,66,0.00145,2009,RCP,Round,3993,1983,9
