Seg_ID,lat,lon,slope
2,38.94035224,-77.12175408,0.0005
3,38.94543153,-77.12378731,0.0005
4,38.95029063,-77.12708096,0.0024
5,38.95448667,-77.13009841,0.0005
6,38.95820804,-77.13227481,0.0005
7,38.96008913,-77.1336381,0.0005
8,38.96010994,-77.13379993,0.0005
9,38.96368737,-77.13754422,0.0005
10,38.96739411,-77.14222655,0.0005
11,38.97019539,-77.14779313,0.0034
12,38.97051738,-77.15455851,0.0034
13,38.97125724,-77.16126481,0.0005
14,38.97245694,-77.16646199,0.0005
15,38.97252926,-77.1704221,0.0005
16,38.9725293,-77.17055275,0.0005
17,38.9728809,-77.17706088,0.0028
18,38.97288233,-77.17723715,0.0028
19,38.97218508,-77.18262777,0.0018
20,38.97216808,-77.18276074,0.0012
21,38.97207587,-77.18768545,0.0012
22,38.97216952,-77.19462463,0.0012
23,38.9751889,-77.20033868,0.0005
24,38.97791209,-77.20628323,0.0012
25,38.97782696,-77.21342213,0.0005
26,38.9787592,-77.221008,0.0023
27,38.98167062,-77.22674171,0.0015
28,38.99913091,-77.24828988,0.0017
29,39.00670864,-77.25468189,0.0014
30,39.02612775,-77.27183996,0.0011
31,39.03813611,-77.28245348,0.0011
32,39.04100851,-77.28788389,0.0011
33,39.04350004,-77.29419429,0.00145
34,39.04588188,-77.30063742,0.00091
35,39.0479237,-77.30680757,0.00091
36,39.04962188,-77.31266678,0.00091
37,39.05162814,-77.3195008,0.00091
38,39.05348018,-77.32411902,0.001
39,39.05780673,-77.33494849,0.001
40,39.05792693,-77.33681429,0.0006
41,39.05611758,-77.34210483,0.0006
42,39.05469243,-77.34886738,0.0006
43,39.05418312,-77.3558618,0.0006
44,39.05371397,-77.36226252,0.0006
45,39.05424659,-77.36902979,0.0006
46,39.05476371,-77.37517318,0.0005
47,39.05529846,-77.38154288,0.0005
48,39.05570407,-77.38854477,0.0005
49,39.05610153,-77.39560599,0.0005
50,39.05648691,-77.40261859,0.0005
51,39.05672752,-77.40690025,0.0005
52,39.05397337,-77.41065395,0.00065
53,39.05080255,-77.41454111,0.00065
53.8,39.04450216,-77.42226012,0.00065
54,39.0400528,-77.42772904,0.00065
