"user_name","input_name","flow_year","flow_month","monthly_flow"
"fairfax","Sully_Rd_1",2022,"OCTOBER",78.34
"fairfax","Sully_Rd_1",2022,"NOVEMBER",75.94
"fairfax","Sully_Rd_1",2022,"DECEMBER",93.66
"fairfax","Sully_Rd_1",2023,"JANUARY",83.9
"fairfax","Sully_Rd_1",2023,"FEBRUARY",81.29
"fairfax","Sully_Rd_1",2023,"MARCH",82.24
"fairfax","Sully_Rd_1",2023,"APRIL",77.13
"fairfax","Sully_Rd_1",2023,"MAY",81.93
"fairfax","Sully_Rd_1",2023,"JUNE",76.21
"fairfax","Sully_Rd_1",2023,"JULY",88.29
"fairfax","Sully_Rd_1",2023,"AUGUST",79.31
"fairfax","Sully_Rd_1",2023,"SEPTEMBER",85.99
"fairfax","Sully_Rd_2",2022,"OCTOBER",56.05
"fairfax","Sully_Rd_2",2022,"NOVEMBER",53.27
"fairfax","Sully_Rd_2",2022,"DECEMBER",57.52
"fairfax","Sully_Rd_2",2023,"JANUARY",57.12
"fairfax","Sully_Rd_2",2023,"FEBRUARY",52.09
"fairfax","Sully_Rd_2",2023,"MARCH",57.29
"fairfax","Sully_Rd_2",2023,"APRIL",58.03
"fairfax","Sully_Rd_2",2023,"MAY",61.56
"fairfax","Sully_Rd_2",2023,"JUNE",57.42
"fairfax","Sully_Rd_2",2023,"JULY",59.83
"fairfax","Sully_Rd_2",2023,"AUGUST",59.09
"fairfax","Sully_Rd_2",2023,"SEPTEMBER",58.74
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2022,"OCTOBER",18.5
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2022,"NOVEMBER",16.87
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2022,"DECEMBER",19.09
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"JANUARY",17.83
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"FEBRUARY",16.49
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"MARCH",17.01
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"APRIL",16.13
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"MAY",16.5
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"JUNE",16.58
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"JULY",18.47
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"AUGUST",16.77
"fairfax","ROCK HILL ROAD - A3003 - P.I.",2023,"SEPTEMBER",17.8
"fairfax","SUGARLAND RUN - B2006 - P.I.",2022,"OCTOBER",86.86
"fairfax","SUGARLAND RUN - B2006 - P.I.",2022,"NOVEMBER",83.45
"fairfax","SUGARLAND RUN - B2006 - P.I.",2022,"DECEMBER",95.26
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"JANUARY",110.76
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"FEBRUARY",107.54
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"MARCH",114.81
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"APRIL",105.87
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"MAY",112.71
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"JUNE",98.25
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"JULY",126.89
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"AUGUST",121.96
"fairfax","SUGARLAND RUN - B2006 - P.I.",2023,"SEPTEMBER",116.08
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2022,"OCTOBER",56.05
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2022,"NOVEMBER",53.27
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2022,"DECEMBER",57.52
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2023,"JANUARY",57.12
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2023,"FEBRUARY",52.09
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2023,"MARCH",57.29
"fairfax","CHAIN BRIDGE - G4102 - DOWN",2023,"APRIL",58.03
