US_MH,lat,lon
2,38.94035224,-77.12175408
3,38.94543153,-77.12378731
4,38.95029063,-77.12708096
5,38.95448667,-77.13009841
6,38.95820804,-77.13227481
7,38.96008913,-77.1336381
8,38.96010994,-77.13379993
9,38.96368737,-77.13754422
10,38.96739411,-77.14222655
11,38.97019539,-77.14779313
12,38.97051738,-77.15455851
13,38.97125724,-77.16126481
14,38.97245694,-77.16646199
15,38.97252926,-77.1704221
16,38.9725293,-77.17055275
17,38.9728809,-77.17706088
18,38.97288233,-77.17723715
19,38.97218508,-77.18262777
20,38.97216808,-77.18276074
21,38.97207587,-77.18768545
22,38.97216952,-77.19462463
23,38.9751889,-77.20033868
24,38.97791209,-77.20628323
25,38.97782696,-77.21342213
26,38.9787592,-77.221008
27,38.98167062,-77.22674171
28,38.99913091,-77.24828988
29,39.00670864,-77.25468189
30,39.02612775,-77.27183996
31,39.03813611,-77.28245348
32,39.04100851,-77.28788389
33,39.04350004,-77.29419429
34,39.04588188,-77.30063742
35,39.0479237,-77.30680757
36,39.04962188,-77.31266678
37,39.05162814,-77.3195008
38,39.05348018,-77.32411902
39,39.05780673,-77.33494849
40,39.05792693,-77.33681429
41,39.05611758,-77.34210483
42,39.05469243,-77.34886738
43,39.05418312,-77.3558618
44,39.05371397,-77.36226252
45,39.05424659,-77.36902979
46,39.05476371,-77.37517318
47,39.05529846,-77.38154288
48,39.05570407,-77.38854477
49,39.05610153,-77.39560599
50,39.05648691,-77.40261859
51,39.05672752,-77.40690025
52,39.05397337,-77.41065395
53,39.05080255,-77.41454111
53.8,39.04450216,-77.42226012
54,39.0400528,-77.42772904
55,39.03511689,-77.43377135
56,39.03162914,-77.4346982
57,39.02839399,-77.43668593
58,39.02547855,-77.43861863
59,39.02338276,-77.44079589
60,39.01932117,-77.44467874
61,39.0190756,-77.44517871
62,39.01691743,-77.44679705
63,39.01449216,-77.44845709
64,39.01206275,-77.45011947
65,39.01006819,-77.45196384
66,39.00827418,-77.45425081
67,39.00647769,-77.45653424
68,39.00623025,-77.45980826
68.8,39.00621992,-77.46014959
68.81,39.00550267,-77.46094027
69,39.00435713,-77.46160319
70,39.00185504,-77.46306661
71,38.9994421,-77.46400299
72,38.99664838,-77.46393069
73,38.99533936,-77.46433667
73.8,38.99522247,-77.46438842
74,38.99376536,-77.46481104
