,user_name,input_name,flow_year,flow_month,monthly_flow
0,fairfax,Sully_Rd_1,2022,OCTOBER,78.34
1,fairfax,Sully_Rd_1,2022,NOVEMBER,75.94
2,fairfax,Sully_Rd_1,2022,DECEMBER,93.66
3,fairfax,Sully_Rd_1,2023,JANUARY,83.9
4,fairfax,Sully_Rd_1,2023,FEBRUARY,81.29
5,fairfax,Sully_Rd_1,2023,MARCH,82.24
6,fairfax,Sully_Rd_1,2023,APRIL,77.13
7,fairfax,Sully_Rd_1,2023,MAY,81.93
8,fairfax,Sully_Rd_1,2023,JUNE,76.21
9,fairfax,Sully_Rd_1,2023,JULY,88.29
10,fairfax,Sully_Rd_1,2023,AUGUST,79.31
11,fairfax,Sully_Rd_1,2023,SEPTEMBER,85.99
12,fairfax,Sully_Rd_2,2022,OCTOBER,56.05
13,fairfax,Sully_Rd_2,2022,NOVEMBER,53.27
14,fairfax,Sully_Rd_2,2022,DECEMBER,57.52
15,fairfax,Sully_Rd_2,2023,JANUARY,57.12
16,fairfax,Sully_Rd_2,2023,FEBRUARY,52.09
17,fairfax,Sully_Rd_2,2023,MARCH,57.29
18,fairfax,Sully_Rd_2,2023,APRIL,58.03
19,fairfax,Sully_Rd_2,2023,MAY,61.56
20,fairfax,Sully_Rd_2,2023,JUNE,57.42
21,fairfax,Sully_Rd_2,2023,JULY,59.83
22,fairfax,Sully_Rd_2,2023,AUGUST,59.09
23,fairfax,Sully_Rd_2,2023,SEPTEMBER,58.74
24,fairfax,ROCK HILL ROAD - A3003 - P.I.,2022,OCTOBER,18.5
25,fairfax,ROCK HILL ROAD - A3003 - P.I.,2022,NOVEMBER,16.87
26,fairfax,ROCK HILL ROAD - A3003 - P.I.,2022,DECEMBER,19.09
27,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,JANUARY,17.83
28,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,FEBRUARY,16.49
29,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,MARCH,17.01
30,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,APRIL,16.13
31,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,MAY,16.5
32,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,JUNE,16.58
33,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,JULY,18.47
34,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,AUGUST,16.77
35,fairfax,ROCK HILL ROAD - A3003 - P.I.,2023,SEPTEMBER,17.8
36,fairfax,SUGARLAND RUN - B2006 - P.I.,2022,OCTOBER,86.86
37,fairfax,SUGARLAND RUN - B2006 - P.I.,2022,NOVEMBER,83.45
38,fairfax,SUGARLAND RUN - B2006 - P.I.,2022,DECEMBER,95.26
39,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,JANUARY,110.76
40,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,FEBRUARY,107.54
41,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,MARCH,114.81
42,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,APRIL,105.87
43,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,MAY,112.71
44,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,JUNE,98.25
45,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,JULY,126.89
46,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,AUGUST,121.96
47,fairfax,SUGARLAND RUN - B2006 - P.I.,2023,SEPTEMBER,116.08
48,fairfax,CHAIN BRIDGE - G4102 - DOWN,2022,OCTOBER,56.05
49,fairfax,CHAIN BRIDGE - G4102 - DOWN,2022,NOVEMBER,53.27
50,fairfax,CHAIN BRIDGE - G4102 - DOWN,2022,DECEMBER,57.52
