user,route,Flow,Flow_length,Flow_X_length,%_Share
District,9,17.09,90000.0,106550.0,7.232869591558123
Dulles,2,0.81,1700.0,1377.0,0.4681957547871486
Dulles,9,0.81,26859.0,21755.79,1.4768352128702422
Dulles,8,0.81,12183.0,9868.230000000001,0.9927987949385665
Dulles,6,0.81,18894.0,15304.140000000001,2.8998881514428105
Dulles,4,0.81,14814.0,11999.34,3.0303309938718765
Fairfax,9,17.259999999999998,26859.0,463586.33999999997,31.469352807580712
Fairfax,8,17.259999999999998,66893.0,546134.38,54.94415455846906
Fairfax,7,9.31,21543.0,200565.33000000002,89.77820636451301
Fairfax,6,5.159999999999999,18894.0,97493.03999999998,18.47336155733938
Fairfax,4,5.159999999999999,33769.0,76523.06,19.325246260537433
Fairfax,3,3.6199999999999997,30020.0,54336.2,90.46538138127015
Fairfax,2,5.14,45575.0,234255.49999999997,79.64955020736447
Fairfax,1,5.14,15950.0,17880.61,100.0
Loudoun,4,13.139999999999999,37764.0,193039.81999999998,48.75056041394345
Loudoun,9,13.139999999999999,26859.0,352927.25999999995,23.957549008783925
Loudoun,8,13.139999999999999,12183.0,160084.62,16.105402673447855
Loudoun,6,13.139999999999999,18894.0,248267.15999999997,47.042630012294474
Loudoun,3,0.9978699529999999,17217.0,5726.775660267,9.534618618729858
Loudoun,2,12.879999999999999,78896.0,58475.24999999999,19.88225403784837
NPS,9,0.03,26859.0,805.77,0.054697600476675635
NPS,8,0.03,14057.0,421.71,0.04242637026230062
Navy,9,0.07,26859.0,1880.13,0.1276277344455765
Navy,8,0.07,1437.0,100.59,0.010119913174183252
Vienna,9,1.06,26859.0,28470.54,1.9326485501758726
Vienna,8,1.06,50710.0,53752.600000000006,5.407810367696618
Vienna,7,1.06,21543.0,22835.58,10.22179363548698
WSSC,8,18.509999999999998,39026.0,223618.72999999998,22.49728732201141
WSSC,6,11.989999999999998,13902.0,166684.97999999998,31.584120278923333
WSSC,5,11.989999999999998,28114.0,168543.43,100.0
WSSC,9,18.509999999999998,26859.0,497160.08999999997,33.748419494108866
